Entry,Entry name,Protein names (Simplified),Gene names (primary),Gene names (synonyms),Kinase group,"Length
(AA)",Mass,"Protein names 
(Including synonyms)"
Q86TW2,ADCK1_HUMAN,AarF domain-containing protein kinase 1 ,ADCK1,,Atypical,530,"60,577",AarF domain-containing protein kinase 1 (EC 2.7.-.-)
Q7Z695,ADCK2_HUMAN,Uncharacterized aarF domain-containing protein kinase 2 ,ADCK2,AARF,Atypical,626,"68,982",Uncharacterized aarF domain-containing protein kinase 2 (EC 2.7.11.-)
Q3MIX3,ADCK5_HUMAN,Uncharacterized aarF domain-containing protein kinase 5 ,ADCK5,,Atypical,580,"65,828",Uncharacterized aarF domain-containing protein kinase 5 (EC 2.7.11.-)
P55263,ADK_HUMAN,Adenosine kinase ,ADK,,,362,"40,545",Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase)
Q9BRR6,ADPGK_HUMAN,ADP-dependent glucokinase ,ADPGK,,,497,"54,089",ADP-dependent glucokinase (ADP-GK) (ADPGK) (EC 2.7.1.147) (RbBP-35)
Q53H12,AGK_HUMAN,"Acylglycerol kinase, mitochondrial ",AGK,MULK,,422,"47,137","Acylglycerol kinase, mitochondrial (hAGK) (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase) (HsMuLK) (MuLK) (Multi-substrate lipid kinase)"
P00568,KAD1_HUMAN,Adenylate kinase isoenzyme 1 ,AK1,,,194,"21,635",Adenylate kinase isoenzyme 1 (AK 1) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Myokinase)
P54819,KAD2_HUMAN,"Adenylate kinase 2, mitochondrial ",AK2,ADK2,,239,"26,478","Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) [Cleaved into: Adenylate kinase 2, mitochondrial, N-terminally processed]"
Q9UIJ7,KAD3_HUMAN,"GTP:AMP phosphotransferase AK3, mitochondrial ",AK3,AK3L1 AK6 AKL3L,,227,"25,565","GTP:AMP phosphotransferase AK3, mitochondrial (EC 2.7.4.10) (Adenylate kinase 3) (AK 3) (Adenylate kinase 3 alpha-like 1)"
P27144,KAD4_HUMAN,"Adenylate kinase 4, mitochondrial ",AK4,AK3 AK3L1,,223,"25,268","Adenylate kinase 4, mitochondrial (AK 4) (EC 2.7.4.10) (EC 2.7.4.6) (Adenylate kinase 3-like) (GTP:AMP phosphotransferase AK4)"
Q9Y6K8,KAD5_HUMAN,Adenylate kinase isoenzyme 5 ,AK5,,,562,"63,333",Adenylate kinase isoenzyme 5 (AK 5) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 5)
Q9Y3D8,KAD6_HUMAN,Adenylate kinase isoenzyme 6 ,AK6,CINAP,,172,"20,061",Adenylate kinase isoenzyme 6 (AK6) (EC 2.7.4.3) (Adrenal gland protein AD-004) (Coilin-interacting nuclear ATPase protein) (hCINAP) (Dual activity adenylate kinase/ATPase) (AK/ATPase)
Q96M32,KAD7_HUMAN,Adenylate kinase 7 ,AK7,,,723,"82,658",Adenylate kinase 7 (AK 7) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 7)
Q96MA6,KAD8_HUMAN,Adenylate kinase 8 ,AK8,C9orf98,,479,"54,926",Adenylate kinase 8 (AK 8) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 8)
Q5TCS8,KAD9_HUMAN,Adenylate kinase 9 ,AK9,AKD1 AKD2 C6orf199 C6orf224,,1911,"221,413",Adenylate kinase 9 (AK 9) (EC 2.7.4.4) (EC 2.7.4.6) (Adenylate kinase domain-containing protein 1) (Adenylate kinase domain-containing protein 2)
P31749,AKT1_HUMAN,RAC-alpha serine/threonine-protein kinase ,AKT1,PKB RAC,AGC,480,"55,686",RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha)
P31751,AKT2_HUMAN,RAC-beta serine/threonine-protein kinase ,AKT2,,AGC,481,"55,769",RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta)
Q9Y243,AKT3_HUMAN,RAC-gamma serine/threonine-protein kinase ,AKT3,PKBG,AGC,479,"55,775",RAC-gamma serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-3) (Protein kinase B gamma) (PKB gamma) (RAC-PK-gamma) (STK-2)
P54886,P5CS_HUMAN,Delta-1-pyrroline-5-carboxylate synthase ,ALDH18A1,GSAS P5CS PYCS,,795,"87,302",Delta-1-pyrroline-5-carboxylate synthase (P5CS) (Aldehyde dehydrogenase family 18 member A1) [Includes: Glutamate 5-kinase (GK) (EC 2.7.2.11) (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)]
Q9UM73,ALK_HUMAN,ALK tyrosine kinase receptor ,ALK,,TK,1620,"176,442",ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246)
Q96QP1,ALPK1_HUMAN,Alpha-protein kinase 1 ,ALPK1,KIAA1527 LAK,Atypical,1244,"138,861",Alpha-protein kinase 1 (EC 2.7.11.1) (Chromosome 4 kinase) (Lymphocyte alpha-protein kinase)
Q86TB3,ALPK2_HUMAN,Alpha-protein kinase 2 ,ALPK2,HAK,Atypical,2170,"237,013",Alpha-protein kinase 2 (EC 2.7.11.1) (Heart alpha-protein kinase)
Q96L96,ALPK3_HUMAN,Alpha-protein kinase 3 ,ALPK3,KIAA1330 MAK,Atypical,1907,"201,272",Alpha-protein kinase 3 (EC 2.7.11.1) (Muscle alpha-protein kinase)
Q16671,AMHR2_HUMAN,Anti-Muellerian hormone type-2 receptor ,AMHR2,AMHR MISR2,TKL,573,"62,750",Anti-Muellerian hormone type-2 receptor (EC 2.7.11.30) (Anti-Muellerian hormone type II receptor) (AMH type II receptor) (MIS type II receptor) (MISRII) (MRII)
Q8NFD2,ANKK1_HUMAN,Ankyrin repeat and protein kinase domain-containing protein 1 ,ANKK1,PKK2 SGK288,TKL,765,"84,632",Ankyrin repeat and protein kinase domain-containing protein 1 (EC 2.7.11.1) (Protein kinase PKK2) (Sugen kinase 288) (SgK288) (X-kinase)
P10398,ARAF_HUMAN,Serine/threonine-protein kinase A-Raf ,ARAF,ARAF1 PKS PKS2,TKL,606,"67,585",Serine/threonine-protein kinase A-Raf (EC 2.7.11.1) (Proto-oncogene A-Raf) (Proto-oncogene A-Raf-1) (Proto-oncogene Pks)
Q13315,ATM_HUMAN,Serine-protein kinase ATM ,ATM,,Atypical,3056,"350,687",Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated)
Q13535,ATR_HUMAN,Serine/threonine-protein kinase ATR ,ATR,FRP1,Atypical,2644,"301,367",Serine/threonine-protein kinase ATR (EC 2.7.11.1) (Ataxia telangiectasia and Rad3-related protein) (FRAP-related protein 1)
O14965,AURKA_HUMAN,Aurora kinase A ,AURKA,AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6,Other,403,"45,809",Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (hARK1) (Breast tumor-amplified kinase) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase aurora-A)
Q96GD4,AURKB_HUMAN,Aurora kinase B ,AURKB,AIK2 AIM1 AIRK2 ARK2 STK1 STK12 STK5,Other,344,"39,311",Aurora kinase B (EC 2.7.11.1) (Aurora 1) (Aurora- and IPL1-like midbody-associated protein 1) (AIM-1) (Aurora/IPL1-related kinase 2) (ARK-2) (Aurora-related kinase 2) (STK-1) (Serine/threonine-protein kinase 12) (Serine/threonine-protein kinase 5) (Serine/threonine-protein kinase aurora-B)
Q9UQB9,AURKC_HUMAN,Aurora kinase C ,AURKC,AIE2 AIK3 AIRK3 ARK3 STK13,Other,309,"35,591",Aurora kinase C (EC 2.7.11.1) (Aurora 3) (Aurora/IPL1-related kinase 3) (ARK-3) (Aurora-related kinase 3) (Aurora/IPL1/Eg2 protein 2) (Serine/threonine-protein kinase 13) (Serine/threonine-protein kinase aurora-C)
P30530,UFO_HUMAN,Tyrosine-protein kinase receptor UFO ,AXL,UFO,TK,894,"98,337",Tyrosine-protein kinase receptor UFO (EC 2.7.10.1) (AXL oncogene)
Q9UIG0,BAZ1B_HUMAN,Tyrosine-protein kinase BAZ1B ,BAZ1B,WBSC10 WBSCR10 WBSCR9 WSTF,Atypical,1483,"170,903",Tyrosine-protein kinase BAZ1B (EC 2.7.10.2) (Bromodomain adjacent to zinc finger domain protein 1B) (Williams syndrome transcription factor) (Williams-Beuren syndrome chromosomal region 10 protein) (Williams-Beuren syndrome chromosomal region 9 protein) (hWALp2)
O14874,BCKD_HUMAN,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial ",BCKDK,,Atypical,412,"46,360","[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial (EC 2.7.11.4) (Branched-chain alpha-ketoacid dehydrogenase kinase) (BCKD-kinase) (BCKDHKIN)"
P11274,BCR_HUMAN,Breakpoint cluster region protein ,BCR,BCR1 D22S11,Atypical,1271,"142,819",Breakpoint cluster region protein (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-26)
P51451,BLK_HUMAN,Tyrosine-protein kinase Blk ,BLK,,TK,505,"57,706",Tyrosine-protein kinase Blk (EC 2.7.10.2) (B lymphocyte kinase) (p55-Blk)
Q9NSY1,BMP2K_HUMAN,BMP-2-inducible protein kinase ,BMP2K,BIKE,Other,1161,"129,172",BMP-2-inducible protein kinase (BIKe) (EC 2.7.11.1)
P36894,BMR1A_HUMAN,Bone morphogenetic protein receptor type-1A ,BMPR1A,ACVRLK3 ALK3,TKL,532,"60,198",Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (Serine/threonine-protein kinase receptor R5) (SKR5) (CD antigen CD292)
O00238,BMR1B_HUMAN,Bone morphogenetic protein receptor type-1B ,BMPR1B,,TKL,502,"56,930",Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B) (EC 2.7.11.30) (CD antigen CDw293)
Q13873,BMPR2_HUMAN,Bone morphogenetic protein receptor type-2 ,BMPR2,PPH1,TKL,1038,"115,201",Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2) (EC 2.7.11.30) (Bone morphogenetic protein receptor type II) (BMP type II receptor) (BMPR-II)
P51813,BMX_HUMAN,Cytoplasmic tyrosine-protein kinase BMX ,BMX,,TK,675,"78,011",Cytoplasmic tyrosine-protein kinase BMX (EC 2.7.10.2) (Bone marrow tyrosine kinase gene in chromosome X protein) (Epithelial and endothelial tyrosine kinase) (ETK) (NTK38)
P15056,BRAF_HUMAN,Serine/threonine-protein kinase B-raf ,BRAF,BRAF1 RAFB1,TKL,766,"84,437",Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (p94) (v-Raf murine sarcoma viral oncogene homolog B1)
Q8TDC3,BRSK1_HUMAN,Serine/threonine-protein kinase BRSK1 ,BRSK1,KIAA1811 SAD1 SADB,CAMK,778,"85,087",Serine/threonine-protein kinase BRSK1 (EC 2.7.11.1) (Brain-selective kinase 1) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 1) (BR serine/threonine-protein kinase 1) (Serine/threonine-protein kinase SAD-B) (Synapses of Amphids Defective homolog 1) (SAD1 homolog) (hSAD1)
Q8IWQ3,BRSK2_HUMAN,Serine/threonine-protein kinase BRSK2 ,BRSK2,C11orf7 PEN11B SADA STK29,CAMK,736,"81,633",Serine/threonine-protein kinase BRSK2 (EC 2.7.11.1) (Brain-selective kinase 2) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 2) (BR serine/threonine-protein kinase 2) (Serine/threonine-protein kinase 29) (Serine/threonine-protein kinase SAD-A)
Q06187,BTK_HUMAN,Tyrosine-protein kinase BTK ,BTK,AGMX1 ATK BPK,TK,659,"76,281",Tyrosine-protein kinase BTK (EC 2.7.10.2) (Agammaglobulinemia tyrosine kinase) (ATK) (B-cell progenitor kinase) (BPK) (Bruton tyrosine kinase)
O43683,BUB1_HUMAN,Mitotic checkpoint serine/threonine-protein kinase BUB1 ,BUB1,BUB1L,Other,1085,"122,375",Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1) (EC 2.7.11.1) (BUB1A)
O60566,BUB1B_HUMAN,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta ,BUB1B,BUBR1 MAD3L SSK1,Other,1050,"119,545",Mitotic checkpoint serine/threonine-protein kinase BUB1 beta (EC 2.7.11.1) (MAD3/BUB1-related protein kinase) (hBUBR1) (Mitotic checkpoint kinase MAD3L) (Protein SSK1)
Q14012,KCC1A_HUMAN,Calcium/calmodulin-dependent protein kinase type 1 ,CAMK1,,CAMK,370,"41,337",Calcium/calmodulin-dependent protein kinase type 1 (EC 2.7.11.17) (CaM kinase I) (CaM-KI) (CaM kinase I alpha) (CaMKI-alpha)
Q8IU85,KCC1D_HUMAN,Calcium/calmodulin-dependent protein kinase type 1D ,CAMK1D,CAMKID,CAMK,385,"42,914",Calcium/calmodulin-dependent protein kinase type 1D (EC 2.7.11.17) (CaM kinase I delta) (CaM kinase ID) (CaM-KI delta) (CaMKI delta) (CaMKID) (CaMKI-like protein kinase) (CKLiK)
Q96NX5,KCC1G_HUMAN,Calcium/calmodulin-dependent protein kinase type 1G ,CAMK1G,CLICK3 VWS1,CAMK,476,"53,087",Calcium/calmodulin-dependent protein kinase type 1G (EC 2.7.11.17) (CaM kinase I gamma) (CaM kinase IG) (CaM-KI gamma) (CaMKI gamma) (CaMKIG) (CaMK-like CREB kinase III) (CLICK III)
Q9UQM7,KCC2A_HUMAN,Calcium/calmodulin-dependent protein kinase type II subunit alpha ,CAMK2A,CAMKA KIAA0968,CAMK,478,"54,088",Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) (EC 2.7.11.17)
Q13554,KCC2B_HUMAN,Calcium/calmodulin-dependent protein kinase type II subunit beta ,CAMK2B,CAM2 CAMK2 CAMKB,CAMK,666,"72,678",Calcium/calmodulin-dependent protein kinase type II subunit beta (CaM kinase II subunit beta) (CaMK-II subunit beta) (EC 2.7.11.17)
Q13557,KCC2D_HUMAN,Calcium/calmodulin-dependent protein kinase type II subunit delta ,CAMK2D,CAMKD,CAMK,499,"56,369",Calcium/calmodulin-dependent protein kinase type II subunit delta (CaM kinase II subunit delta) (CaMK-II subunit delta) (EC 2.7.11.17)
Q13555,KCC2G_HUMAN,Calcium/calmodulin-dependent protein kinase type II subunit gamma ,CAMK2G,CAMK CAMK-II CAMKG,CAMK,558,"62,607",Calcium/calmodulin-dependent protein kinase type II subunit gamma (CaM kinase II subunit gamma) (CaMK-II subunit gamma) (EC 2.7.11.17)
Q16566,KCC4_HUMAN,Calcium/calmodulin-dependent protein kinase type IV ,CAMK4,CAMK CAMK-GR CAMKIV,CAMK,473,"51,926",Calcium/calmodulin-dependent protein kinase type IV (CaMK IV) (EC 2.7.11.17) (CaM kinase-GR)
Q8N5S9,KKCC1_HUMAN,Calcium/calmodulin-dependent protein kinase kinase 1 ,CAMKK1,CAMKKA,Other,505,"55,735",Calcium/calmodulin-dependent protein kinase kinase 1 (CaM-KK 1) (CaM-kinase kinase 1) (CaMKK 1) (EC 2.7.11.17) (CaM-kinase IV kinase) (Calcium/calmodulin-dependent protein kinase kinase alpha) (CaM-KK alpha) (CaM-kinase kinase alpha) (CaMKK alpha)
Q96RR4,KKCC2_HUMAN,Calcium/calmodulin-dependent protein kinase kinase 2 ,CAMKK2,CAMKKB KIAA0787,Other,588,"64,746",Calcium/calmodulin-dependent protein kinase kinase 2 (CaM-KK 2) (CaM-kinase kinase 2) (CaMKK 2) (EC 2.7.11.17) (Calcium/calmodulin-dependent protein kinase kinase beta) (CaM-KK beta) (CaM-kinase kinase beta) (CaMKK beta)
O14936,CSKP_HUMAN,Peripheral plasma membrane protein CASK ,CASK,LIN2,CAMK,926,"105,123",Peripheral plasma membrane protein CASK (hCASK) (EC 2.7.11.1) (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog)
Q5VT25,MRCKA_HUMAN,Serine/threonine-protein kinase MRCK alpha ,CDC42BPA,KIAA0451,AGC,1732,"197,307",Serine/threonine-protein kinase MRCK alpha (EC 2.7.11.1) (CDC42-binding protein kinase alpha) (DMPK-like alpha) (Myotonic dystrophy kinase-related CDC42-binding kinase alpha) (MRCK alpha) (Myotonic dystrophy protein kinase-like alpha)
Q9Y5S2,MRCKB_HUMAN,Serine/threonine-protein kinase MRCK beta ,CDC42BPB,KIAA1124,AGC,1711,"194,315",Serine/threonine-protein kinase MRCK beta (EC 2.7.11.1) (CDC42-binding protein kinase beta) (CDC42BP-beta) (DMPK-like beta) (Myotonic dystrophy kinase-related CDC42-binding kinase beta) (MRCK beta) (Myotonic dystrophy protein kinase-like beta)
Q6DT37,MRCKG_HUMAN,Serine/threonine-protein kinase MRCK gamma ,CDC42BPG,DMPK2,AGC,1551,"172,459",Serine/threonine-protein kinase MRCK gamma (EC 2.7.11.1) (CDC42-binding protein kinase gamma) (DMPK-like gamma) (Myotonic dystrophy kinase-related CDC42-binding kinase gamma) (MRCK gamma) (MRCKG) (Myotonic dystrophy protein kinase-like gamma) (Myotonic dystrophy protein kinase-like alpha)
O00311,CDC7_HUMAN,Cell division cycle 7-related protein kinase ,CDC7,CDC7L1,Other,574,"63,888",Cell division cycle 7-related protein kinase (CDC7-related kinase) (HsCdc7) (huCdc7) (EC 2.7.11.1)
P06493,CDK1_HUMAN,Cyclin-dependent kinase 1 ,CDK1,CDC2 CDC28A CDKN1 P34CDC2,CMGC,297,"34,095",Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)
Q15131,CDK10_HUMAN,Cyclin-dependent kinase 10 ,CDK10,,CMGC,360,"41,038",Cyclin-dependent kinase 10 (EC 2.7.11.22) (Cell division protein kinase 10) (Serine/threonine-protein kinase PISSLRE)
Q9UQ88,CD11A_HUMAN,Cyclin-dependent kinase 11A ,CDK11A,CDC2L2 CDC2L3 PITSLREB,,783,"91,362",Cyclin-dependent kinase 11A (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 2) (Cell division protein kinase 11A) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L2)
P21127,CD11B_HUMAN,Cyclin-dependent kinase 11B ,CDK11B,CDC2L1 CDK11 PITSLREA PK58,CMGC,795,"92,620",Cyclin-dependent kinase 11B (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 1) (CLK-1) (Cell division protein kinase 11B) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L1) (p58 CLK-1)
Q9NYV4,CDK12_HUMAN,Cyclin-dependent kinase 12 ,CDK12,CRK7 CRKRS KIAA0904,CMGC,1490,"164,155","Cyclin-dependent kinase 12 (EC 2.7.11.22) (EC 2.7.11.23) (Cdc2-related kinase, arginine/serine-rich) (CrkRS) (Cell division cycle 2-related protein kinase 7) (CDC2-related protein kinase 7) (Cell division protein kinase 12) (hCDK12)"
Q14004,CDK13_HUMAN,Cyclin-dependent kinase 13 ,CDK13,CDC2L CDC2L5 CHED KIAA1791,CMGC,1512,"164,923",Cyclin-dependent kinase 13 (EC 2.7.11.22) (EC 2.7.11.23) (CDC2-related protein kinase 5) (Cell division cycle 2-like protein kinase 5) (Cell division protein kinase 13) (hCDK13) (Cholinesterase-related cell division controller)
O94921,CDK14_HUMAN,Cyclin-dependent kinase 14 ,CDK14,KIAA0834 PFTK1,CMGC,469,"53,057",Cyclin-dependent kinase 14 (EC 2.7.11.22) (Cell division protein kinase 14) (Serine/threonine-protein kinase PFTAIRE-1) (hPFTAIRE1)
Q96Q40,CDK15_HUMAN,Cyclin-dependent kinase 15 ,CDK15,ALS2CR7 PFTK2,CMGC,435,"49,023",Cyclin-dependent kinase 15 (EC 2.7.11.22) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 7 protein) (Cell division protein kinase 15) (Serine/threonine-protein kinase ALS2CR7) (Serine/threonine-protein kinase PFTAIRE-2)
Q00536,CDK16_HUMAN,Cyclin-dependent kinase 16 ,CDK16,PCTAIRE1 PCTK1,CMGC,496,"55,716",Cyclin-dependent kinase 16 (EC 2.7.11.22) (Cell division protein kinase 16) (PCTAIRE-motif protein kinase 1) (Serine/threonine-protein kinase PCTAIRE-1)
Q00537,CDK17_HUMAN,Cyclin-dependent kinase 17 ,CDK17,PCTAIRE2 PCTK2,CMGC,523,"59,582",Cyclin-dependent kinase 17 (EC 2.7.11.22) (Cell division protein kinase 17) (PCTAIRE-motif protein kinase 2) (Serine/threonine-protein kinase PCTAIRE-2)
Q07002,CDK18_HUMAN,Cyclin-dependent kinase 18 ,CDK18,PCTAIRE3 PCTK3,CMGC,474,"54,424",Cyclin-dependent kinase 18 (EC 2.7.11.22) (Cell division protein kinase 18) (PCTAIRE-motif protein kinase 3) (Serine/threonine-protein kinase PCTAIRE-3)
Q9BWU1,CDK19_HUMAN,Cyclin-dependent kinase 19 ,CDK19,CDC2L6 CDK11 KIAA1028,CMGC,502,"56,802",Cyclin-dependent kinase 19 (EC 2.7.11.22) (CDC2-related protein kinase 6) (Cell division cycle 2-like protein kinase 6) (Cell division protein kinase 19) (Cyclin-dependent kinase 11) (Death-preventing kinase)
P24941,CDK2_HUMAN,Cyclin-dependent kinase 2 ,CDK2,CDKN2,CMGC,298,"33,930",Cyclin-dependent kinase 2 (EC 2.7.11.22) (Cell division protein kinase 2) (p33 protein kinase)
Q8IZL9,CDK20_HUMAN,Cyclin-dependent kinase 20 ,CDK20,CCRK CDCH,CMGC,346,"38,695",Cyclin-dependent kinase 20 (EC 2.7.11.22) (CDK-activating kinase p42) (CAK-kinase p42) (Cell cycle-related kinase) (Cell division protein kinase 20) (Cyclin-dependent protein kinase H) (Cyclin-kinase-activating kinase p42)
Q00526,CDK3_HUMAN,Cyclin-dependent kinase 3 ,CDK3,CDKN3,CMGC,305,"35,046",Cyclin-dependent kinase 3 (EC 2.7.11.22) (Cell division protein kinase 3)
P11802,CDK4_HUMAN,Cyclin-dependent kinase 4 ,CDK4,,CMGC,303,"33,730",Cyclin-dependent kinase 4 (EC 2.7.11.22) (Cell division protein kinase 4) (PSK-J3)
Q00535,CDK5_HUMAN,Cyclin-dependent-like kinase 5 ,CDK5,CDKN5,CMGC,292,"33,304",Cyclin-dependent-like kinase 5 (EC 2.7.11.1) (Cell division protein kinase 5) (Serine/threonine-protein kinase PSSALRE) (Tau protein kinase II catalytic subunit) (TPKII catalytic subunit)
Q00534,CDK6_HUMAN,Cyclin-dependent kinase 6 ,CDK6,CDKN6,CMGC,326,"36,938",Cyclin-dependent kinase 6 (EC 2.7.11.22) (Cell division protein kinase 6) (Serine/threonine-protein kinase PLSTIRE)
P50613,CDK7_HUMAN,Cyclin-dependent kinase 7 ,CDK7,CAK CAK1 CDKN7 MO15 STK1,CMGC,346,"39,038",Cyclin-dependent kinase 7 (EC 2.7.11.22) (EC 2.7.11.23) (39 kDa protein kinase) (p39 Mo15) (CDK-activating kinase 1) (Cell division protein kinase 7) (Serine/threonine-protein kinase 1) (TFIIH basal transcription factor complex kinase subunit)
P49336,CDK8_HUMAN,Cyclin-dependent kinase 8 ,CDK8,,CMGC,464,"53,284",Cyclin-dependent kinase 8 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 8) (Mediator complex subunit CDK8) (Mediator of RNA polymerase II transcription subunit CDK8) (Protein kinase K35)
P50750,CDK9_HUMAN,Cyclin-dependent kinase 9 ,CDK9,CDC2L4 TAK,CMGC,372,"42,778",Cyclin-dependent kinase 9 (EC 2.7.11.22) (EC 2.7.11.23) (C-2K) (Cell division cycle 2-like protein kinase 4) (Cell division protein kinase 9) (Serine/threonine-protein kinase PITALRE) (Tat-associated kinase complex catalytic subunit)
